Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,3D_Bench,2D_Bench
GeForce2 Go,GPU,2000-11-11,180,2,64,20,143,TSMC,NVIDIA,4,95
Quadro NVS 280 SD,GPU,2005-05-31,150,10,65,29,250,TSMC,NVIDIA,2,119
Radeon 7200,GPU,2000-06-01,180,23,111,30,143,TSMC,ATI,3,94
Radeon 7200,GPU,2000-04-01,180,23,111,30,166,TSMC,ATI,3,94
Radeon VE,GPU,2001-02-19,180,23,115,30,183,TSMC,ATI,2,36
FireMV 2200 PCI,GPU,2006-01-01,150,15,98,36,240,UMC,ATI,1,153
Radeon 9000,GPU,2002-07-18,150,28,97,36,275,TSMC,ATI,5,126
Radeon 9000,GPU,2002-07-01,150,28,97,36,250,TSMC,ATI,5,126
RADEON 9000 Family,GPU,2004-03-14,150,28,97,36,275,TSMC,ATI,4,123
Radeon 9200,GPU,2003-05-01,150,28,98,36,250,UMC,ATI,4,135
Radeon 9200,GPU,2003-05-01,150,28,98,36,250,UMC,ATI,4,135
RADEON 9200 PRO Family,GPU,2003-05-01,150,28,98,36,240,UMC,ATI,3,135
Radeon 9200 SE,GPU,2003-03-01,150,28,98,36,200,UMC,ATI,3,129
Quadro NVS 280 PCI,GPU,2003-10-28,150,13,91,45,275,TSMC,NVIDIA,8,261
RADEON 9600SE,GPU,2003-10-01,130,12,76,60,324,TSMC,ATI,27,143
Radeon 9600 PRO,GPU,2003-10-01,130,18,76,60,400,TSMC,ATI,43,163
Radeon 9600 XT,GPU,2003-10-01,130,22,76,60,500,TSMC,ATI,35,147
Radeon 7500,GPU,2002-04-16,150,23,83,60,260,TSMC,ATI,3,35
Radeon 7500,GPU,2001-08-14,150,23,83,60,290,TSMC,ATI,3,35
Radeon 7500,GPU,2001-08-14,150,23,83,60,250,TSMC,ATI,3,35
RADEON 8500 Family,GPU,2002-02-04,150,23,120,60,250,TSMC,ATI,7,146
Radeon X1050,GPU,2007-11-25,130,24,76,60,250,TSMC,ATI,49,245
Radeon X1050,GPU,2006-12-07,130,24,76,60,250,TSMC,ATI,49,245
Mobility FireGL 7800,GPU,2001-09-29,150,27,68,60,280,TSMC,ATI,5,86
Mobility Radeon 7500,GPU,2001-12-01,150,27,68,60,280,TSMC,ATI,4,103
MOBILITY RADEON 7500,GPU,2001-12-01,150,27,68,60,230,TSMC,ATI,4,103
RADEON 9100 Family,GPU,2003-04-01,150,28,120,60,250,TSMC,ATI,6,163
GeForce Go 6200,GPU,2006-02-01,110,16,110,75,300,TSMC,NVIDIA,15,204
Quadro NVS 285,GPU,2006-06-06,110,18,110,75,275,TSMC,NVIDIA,39,185
FireMV 2400 PCIe,GPU,2008-01-01,130,20,92,75,500,TSMC,ATI,11,283
MOBILITY RADEON X600 SE,GPU,2004-09-01,130,36,92,75,400,TSMC,ATI,49,233
FireGL V3200,GPU,2004-09-01,130,46,92,75,500,TSMC,ATI,85,236
GeForce FX 5600,GPU,2003-03-06,130,37,121,80,325,TSMC,NVIDIA,13,168
GeForce FX 5700,GPU,2003-10-23,130,25,133,82,425,TSMC,NVIDIA,41,173
GeForce FX 5700 Ultra,GPU,2003-10-23,130,46,133,82,475,TSMC,NVIDIA,34,126
GeForce PCX 5750,GPU,2004-02-17,130,50,125,82,425,TSMC,NVIDIA,35,310
FireMV 2200 PCI,GPU,2006-01-01,110,15,74,107,324,TSMC,ATI,1,153
Radeon X1050,GPU,2006-12-07,110,24,74,107,400,TSMC,ATI,49,245
Radeon X1550,GPU,2007-01-01,80,27,100,107,452,UMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,90,27,100,107,600,TSMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,90,27,100,107,500,TSMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,80,27,100,107,550,UMC,ATI,67,253
Radeon X1600,GPU,2007-01-01,80,27,100,107,635,UMC,ATI,49,209
Radeon X300SE,GPU,2006-10-25,110,30,74,107,325,TSMC,ATI,38,242
RADEON X300SE,GPU,2004-09-01,110,30,74,107,325,TSMC,ATI,38,242
Radeon X1300 PRO,GPU,2005-10-01,90,31,100,107,600,TSMC,ATI,84,313
Radeon X1300 PRO,GPU,2006-11-01,80,31,100,107,600,UMC,ATI,84,313
FireMV 2250,GPU,2007-01-01,80,32,100,107,600,UMC,ATI,46,290
Radeon X600,GPU,2004-09-01,110,36,74,107,325,TSMC,ATI,67,252
Radeon X600,GPU,2004-09-01,110,36,74,107,400,TSMC,ATI,67,252
Radeon 9500,GPU,2003-03-01,150,12,215,110,275,TSMC,ATI,36,173
RADEON 9500 PRO / 9700,GPU,2002-07-01,150,37,215,110,275,TSMC,ATI,42,157
Quadro NVS 110M,GPU,2006-06-01,90,10,81,112,300,TSMC,NVIDIA,48,236
Quadro NVS 120M,GPU,2006-06-01,90,10,81,112,450,TSMC,NVIDIA,47,274
Quadro FX 350M,GPU,2006-03-13,90,15,81,112,450,TSMC,NVIDIA,45,132
Quadro FX 350,GPU,2006-04-20,90,21,81,112,550,TSMC,NVIDIA,86,378
GeForce 7300 GS,GPU,2006-01-18,90,23,81,112,450,TSMC,NVIDIA,82,57
Radeon 9800,GPU,2003-03-01,150,37,215,117,325,TSMC,ATI,58,191
Radeon 9800 PRO,GPU,2003-10-01,150,47,218,117,380,TSMC,ATI,59,153
Radeon 9800 PRO,GPU,2003-03-01,150,47,215,117,380,TSMC,ATI,59,153
Radeon 9800 PRO,GPU,2004-03-04,150,60,218,117,378,TSMC,ATI,59,153
Radeon 9800 XT,GPU,2003-10-01,150,60,218,117,412,TSMC,ATI,57,160
Radeon 9800 XT,GPU,2004-03-14,150,60,218,117,412,TSMC,ATI,57,160
Radeon 9800 PRO,GPU,NaT,150,94,215,117,380,TSMC,ATI,59,153
Radeon X1050,GPU,2008-01-25,110,24,156,120,400,TSMC,ATI,49,245
Radeon X700 PRO,GPU,2004-09-01,110,33,156,120,425,TSMC,ATI,76,302
Radeon X700,GPU,2004-09-01,110,44,156,120,400,TSMC,ATI,73,248
Intel GMA 3150 Express,GPU,2007-05-09,45,13,66,123,400,Intel,Intel,3,66
Quadro FX 5800,GPU,2003-03-06,130,44,199,125,400,TSMC,NVIDIA,1248,134
Quadro FX 1300,GPU,2004-08-09,130,55,207,135,350,TSMC,NVIDIA,34,276
GeForce PCX 5900,GPU,2004-02-17,130,57,207,135,475,TSMC,NVIDIA,34,258
GeForce FX 5900 Ultra,GPU,2003-10-23,130,59,207,135,450,TSMC,NVIDIA,41,170
GeForce FX 5950 Ultra,GPU,2003-10-23,130,74,207,135,475,TSMC,NVIDIA,59,274
Quadro FX 540,GPU,2004-08-09,110,25,154,146,300,TSMC,NVIDIA,81,294
Quadro FX 550,GPU,2006-04-20,110,30,154,146,360,TSMC,NVIDIA,64,325
Quadro NVS 440,GPU,2006-02-14,110,31,154,146,250,TSMC,NVIDIA,38,358
GeForce 6600 GT,GPU,2004-11-14,110,47,154,146,500,TSMC,NVIDIA,137,67
Radeon X1300,GPU,2006-08-12,90,22,150,157,500,TSMC,ATI,58,237
FireGL V5200,GPU,2005-10-01,90,35,150,157,600,TSMC,ATI,115,348
Radeon X1600 PRO,GPU,2007-10-01,90,41,150,157,500,TSMC,ATI,99,273
Radeon X1600 XT,GPU,2007-10-01,90,42,150,157,590,TSMC,ATI,116,356
RADEON X800 GTO,GPU,2004-12-01,110,30,240,160,400,TSMC,ATI,115,162
Radeon X800 GT,GPU,2005-11-01,130,40,297,160,475,TSMC,ATI,84,423
Radeon X800 GT,GPU,2007-11-08,130,40,281,160,473,TSMC,ATI,84,423
Radeon X800 GT,GPU,2005-11-01,110,40,240,160,475,TSMC,ATI,84,423
Radeon X800 PRO,GPU,2004-05-01,130,48,289,160,475,TSMC,ATI,65,190
Radeon X800 PRO,GPU,2004-05-01,130,48,281,160,475,TSMC,ATI,65,190
Radeon X800 GTO,GPU,2007-12-29,130,49,289,160,400,TSMC,ATI,115,162
Radeon X800 GTO,GPU,2007-11-08,130,49,281,160,400,TSMC,ATI,115,162
Radeon X800 GTO,GPU,2005-11-01,130,49,297,160,400,TSMC,ATI,115,162
Radeon X800 GTO,GPU,2005-10-01,130,49,297,160,400,TSMC,ATI,115,162
Radeon X800 GTO,GPU,2005-10-01,110,49,240,160,400,TSMC,ATI,115,162
Radeon X800 XL,GPU,2004-12-01,130,49,297,160,400,TSMC,ATI,69,271
Radeon X800 XL,GPU,2004-05-01,110,49,240,160,400,TSMC,ATI,69,271
Radeon X800 XT,GPU,2004-12-01,130,54,289,160,500,TSMC,ATI,98,271
Radeon X800 XT,GPU,2004-03-01,130,54,281,160,500,TSMC,ATI,98,271
Radeon X800 XT,GPU,2004-12-01,130,54,289,160,475,TSMC,ATI,98,271
Radeon X800 XT,GPU,2004-05-01,130,63,281,160,520,TSMC,ATI,98,271
Radeon X850 XT,GPU,2004-12-21,130,67,297,160,540,TSMC,ATI,81,326
Radeon X850 XT,GPU,2005-02-28,130,67,297,160,540,TSMC,ATI,81,326
Radeon X850 XT,GPU,2004-12-01,130,69,297,160,520,TSMC,ATI,81,326
Radeon X850 XT,GPU,2005-02-28,130,69,297,160,520,TSMC,ATI,81,326
FireGL V7100,GPU,2004-12-01,130,91,289,160,493,TSMC,ATI,72,223
NVS 300,GPU,2006-05-24,90,16,125,177,500,TSMC,NVIDIA,114,60
GeForce 7900 GT,GPU,2006-04-18,90,20,125,177,350,TSMC,NVIDIA,258,160
GeForce 7300 GT,GPU,2006-08-26,90,24,125,177,350,TSMC,NVIDIA,135,39
GeForce 7300 GT,GPU,2006-05-15,90,24,125,177,350,TSMC,NVIDIA,135,39
GeForce 7600 GS,GPU,2006-07-01,90,27,125,177,400,TSMC,NVIDIA,158,55
GeForce 7600 GS,GPU,2006-03-22,90,27,125,177,400,TSMC,NVIDIA,158,55
Quadro FX 560,GPU,2006-04-20,90,30,125,177,350,TSMC,NVIDIA,114,360
Quadro FX 550,GPU,2006-03-13,90,35,125,177,480,TSMC,NVIDIA,64,325
GeForce 7600 GT,GPU,2007-01-08,90,40,125,177,560,TSMC,NVIDIA,204,101
GeForce 7600 GT,GPU,2006-03-09,90,40,125,177,560,TSMC,NVIDIA,204,101
GeForce 7600 GT,GPU,2006-09-02,90,40,125,177,560,TSMC,NVIDIA,204,101
Mobility Radeon HD 3410,GPU,2009-05-07,65,20,85,180,519,TSMC,ATI,63,130
Radeon HD 2350,GPU,2007-01-01,65,20,85,180,525,TSMC,ATI,77,262
Radeon HD 2400,GPU,2008-02-19,65,20,85,180,398,TSMC,ATI,121,298
Radeon HD 2400 PRO,GPU,2007-06-28,65,20,85,180,525,TSMC,ATI,114,346
Radeon E2400,GPU,2007-06-28,65,25,85,180,600,TSMC,ATI,52,287
Radeon HD 2400 XT,GPU,2007-06-28,65,25,85,180,650,TSMC,ATI,119,357
Mobility Radeon HD 3410,GPU,2008-07-25,55,7,67,181,400,TSMC,ATI,63,130
Mobility Radeon HD 4225,GPU,2010-05-01,55,9,67,181,380,Unknown,ATI,66,174
Mobility Radeon HD 3430,GPU,2008-07-25,55,12,67,181,450,TSMC,ATI,98,260
FireMV 2260,GPU,2008-01-01,55,15,67,181,500,TSMC,ATI,117,488
FirePro 2260,GPU,2008-01-01,55,15,67,181,500,TSMC,ATI,113,431
Radeon HD 3450,GPU,2008-01-23,55,25,67,181,600,TSMC,ATI,118,29
Radeon HD 3450,GPU,2007-12-10,55,25,67,181,600,TSMC,ATI,118,29
Radeon HD 4250,GPU,2009-02-25,55,25,67,181,594,TSMC,ATI,123,408
Radeon HD 3470,GPU,2008-01-23,55,30,67,181,800,TSMC,ATI,90,95
FirePro 2450,GPU,2009-01-01,55,32,67,181,400,TSMC,ATI,51,482
GeForce 8400M G,GPU,2007-05-09,80,10,127,210,400,TSMC,NVIDIA,59,241
Quadro NVS 130M,GPU,2007-05-09,80,10,127,210,400,TSMC,NVIDIA,97,190
Quadro NVS 135M,GPU,2007-05-09,80,10,127,210,400,TSMC,NVIDIA,67,74
Quadro NVS 140M,GPU,2007-05-09,80,10,127,210,400,TSMC,NVIDIA,49,99
Quadro NVS 150M,GPU,2008-08-15,65,10,86,210,530,TSMC,NVIDIA,93,327
GeForce 8400M GS,GPU,2007-05-09,80,11,127,210,400,TSMC,NVIDIA,98,47
GeForce 8200M G,GPU,2008-06-03,80,12,127,210,400,Unknown,AMD,72,72
GeForce 9100M G,GPU,2008-07-29,80,12,127,210,450,Unknown,AMD,70,54
Quadro NVS 160M,GPU,2008-08-15,65,12,86,210,580,TSMC,NVIDIA,76,46
GeForce 9200M GS,GPU,2008-06-03,65,13,86,210,550,TSMC,NVIDIA,111,55
GeForce 9300M G,GPU,2008-02-01,80,13,127,210,400,TSMC,NVIDIA,85,242
GeForce 9300M GS,GPU,2008-06-04,65,13,86,210,550,TSMC,NVIDIA,92,33
GeForce 8400M GT,GPU,2007-05-09,80,14,127,210,450,TSMC,NVIDIA,64,68
GeForce G105M,GPU,2009-01-08,65,14,86,210,640,TSMC,NVIDIA,108,46
Quadro FX 360M,GPU,2007-05-09,80,17,127,210,400,TSMC,NVIDIA,87,308
GeForce 8600M GS,GPU,2007-05-01,80,20,127,210,450,TSMC,NVIDIA,73,57
Quadro FX 370M,GPU,2008-08-15,65,20,86,210,550,TSMC,NVIDIA,93,334
Quadro NVS 290,GPU,2007-10-04,80,21,127,210,459,TSMC,NVIDIA,205,59
Quadro NVS 295,GPU,2009-05-07,65,23,86,210,540,TSMC,NVIDIA,75,73
GeForce 8400,GPU,2007-12-04,65,25,86,210,540,TSMC,NVIDIA,81,160
GeForce 8400 GS,GPU,2007-12-04,65,25,86,210,567,TSMC,NVIDIA,128,32
Quadro FX 370 LP,GPU,2008-11-06,65,25,86,210,540,TSMC,NVIDIA,108,481
GeForce 8500 GT,GPU,2007-04-17,80,30,127,210,459,TSMC,NVIDIA,115,39
GeForce G100,GPU,2009-03-10,65,35,86,210,540,TSMC,NVIDIA,147,56
Quadro NVS 450,GPU,2008-11-11,65,35,86,210,480,TSMC,NVIDIA,64,154
GeForce 8100 / nForce 720a,GPU,2007-04-17,80,40,127,210,500,Unknown,NVIDIA,79,308
GeForce 8200,GPU,2007-04-17,80,40,127,210,500,Unknown,NVIDIA,153,163
GeForce 8300,GPU,2007-04-17,80,40,127,210,500,Unknown,NVIDIA,102,168
GeForce 8300 GS,GPU,2007-04-17,80,40,127,210,459,TSMC,NVIDIA,67,314
GeForce 8400 GS,GPU,2007-04-17,80,40,127,210,459,TSMC,NVIDIA,128,32
GeForce 9100,GPU,2007-04-17,80,40,127,210,500,Unknown,NVIDIA,82,345
GeForce 9200,GPU,2007-04-17,80,40,127,210,500,Unknown,NVIDIA,171,31
GeForce 9400,GPU,2007-04-17,80,40,127,210,580,Unknown,NVIDIA,112,99
Quadro NVS 420,GPU,2009-01-20,65,40,86,210,550,TSMC,NVIDIA,70,186
GeForce 8400 SE,GPU,2008-08-01,80,50,127,210,459,TSMC,NVIDIA,68,290
GeForce 9400 GT,GPU,2008-08-01,80,50,127,210,459,TSMC,NVIDIA,105,60
GeForce Go 6800,GPU,2004-11-08,130,45,225,222,300,TSMC,NVIDIA,106,205
Quadro FX 1400,GPU,2004-08-09,130,55,225,222,350,TSMC,NVIDIA,124,152
GeForce 6800 GT,GPU,2004-06-08,130,67,287,222,350,TSMC,NVIDIA,142,212
GeForce 6800 GT,GPU,2004-04-14,130,80,287,222,350,TSMC,NVIDIA,142,212
GeForce 6800 Ultra,GPU,2004-07-26,130,81,287,222,425,TSMC,NVIDIA,139,153
Quadro FX 3450,GPU,2005-07-28,130,83,225,222,425,TSMC,NVIDIA,149,235
Quadro FX 4000,GPU,2005-07-28,130,83,287,222,375,TSMC,NVIDIA,101,78
GeForce Go 6800 Ultra,GPU,2005-02-24,130,89,225,222,450,TSMC,NVIDIA,138,198
GeForce 6800 Ultra,GPU,2004-04-14,130,100,287,222,400,TSMC,NVIDIA,139,153
Quadro FX 4000,GPU,2004-04-01,130,142,287,222,375,TSMC,NVIDIA,101,78
Mobility Radeon HD 530v,GPU,2010-05-05,55,10,73,242,500,TSMC,ATI,175,353
Mobility Radeon HD 540v,GPU,2010-05-05,55,15,73,242,550,TSMC,ATI,188,382
Mobility Radeon HD 545v,GPU,2010-05-05,55,15,73,242,720,TSMC,ATI,200,270
Radeon HD 4350,GPU,2008-09-30,55,20,73,242,600,TSMC,ATI,103,34
Radeon HD 4550,GPU,2008-09-30,55,25,73,242,600,TSMC,ATI,236,429
FirePro RG220,GPU,2008-05-01,55,35,73,242,500,TSMC,ATI,335,552
NVS 2100M,GPU,2010-01-07,40,11,57,260,535,TSMC,NVIDIA,139,221
GeForce 305M,GPU,2010-01-10,40,14,57,260,525,TSMC,NVIDIA,151,149
GeForce 310M,GPU,2010-01-10,40,14,57,260,606,TSMC,NVIDIA,111,27
GeForce 310M,GPU,2010-01-10,40,14,57,260,625,TSMC,NVIDIA,111,27
GeForce 315M,GPU,2011-01-05,40,14,57,260,606,TSMC,NVIDIA,116,52
GeForce 405,GPU,2011-01-05,40,14,57,260,606,TSMC,NVIDIA,122,60
GeForce G105M,GPU,2009-12-14,40,14,57,260,535,TSMC,NVIDIA,108,46
GeForce G105M,GPU,2009-07-16,40,14,57,260,500,TSMC,NVIDIA,108,46
GeForce G210M,GPU,2009-06-15,40,14,57,260,625,TSMC,NVIDIA,122,36
NVS 3100M,GPU,2010-01-07,40,14,57,260,606,TSMC,NVIDIA,115,42
NVS 300,GPU,2011-01-08,40,18,57,260,520,TSMC,NVIDIA,114,60
ION,GPU,2008-06-03,40,20,57,260,500,TSMC,NVIDIA,86,20
GeForce 405,GPU,2010-09-03,40,25,57,260,589,TSMC,NVIDIA,122,60
GeForce 505,GPU,2013-01-06,40,25,57,260,589,TSMC,NVIDIA,187,587
GeForce 8400 GS,GPU,2010-07-12,40,25,57,260,520,TSMC,NVIDIA,128,32
Quadro FX 380M,GPU,2010-01-07,40,25,57,260,606,TSMC,NVIDIA,124,124
Quadro FX 380 LP,GPU,2009-12-01,40,28,57,260,550,TSMC,NVIDIA,136,128
GeForce 205,GPU,2009-11-26,40,31,57,260,589,TSMC,NVIDIA,126,309
GeForce 210,GPU,2009-10-12,40,31,57,260,520,TSMC,NVIDIA,97,39
GeForce 310,GPU,2009-11-27,40,31,57,260,589,TSMC,NVIDIA,122,61
GeForce G210,GPU,2009-08-24,40,31,57,260,589,TSMC,NVIDIA,103,50
GeForce 315,GPU,2011-02-22,40,33,57,260,589,TSMC,NVIDIA,159,66
GeForce 8400 GS,GPU,2007-04-17,40,40,57,260,520,TSMC,NVIDIA,128,32
GeForce 9400 GT,GPU,2012-06-13,40,50,57,260,589,TSMC,NVIDIA,105,60
GeForce Go 7900 GS,GPU,2006-04-18,90,20,196,278,375,TSMC,NVIDIA,176,254
GeForce 7600 GS,GPU,2006-07-01,90,27,196,278,500,TSMC,NVIDIA,158,55
Quadro NVS 510M,GPU,2006-08-21,90,35,196,278,450,TSMC,NVIDIA,254,317
GeForce Go 7900 GTX,GPU,2006-04-18,90,45,196,278,500,TSMC,NVIDIA,270,264
GeForce Go 7950 GTX,GPU,2006-10-12,90,45,196,278,575,TSMC,NVIDIA,264,283
Quadro FX 1500M,GPU,2006-04-18,90,45,196,278,375,TSMC,NVIDIA,171,275
Quadro FX 2500M,GPU,2005-09-29,90,45,196,278,500,TSMC,NVIDIA,218,272
Quadro FX 3500M,GPU,2007-03-01,90,45,196,278,575,TSMC,NVIDIA,306,309
GeForce 7900 GT,GPU,2006-03-09,90,48,196,278,450,TSMC,NVIDIA,258,160
GeForce 7900 GS,GPU,2006-05-01,90,49,196,278,450,TSMC,NVIDIA,254,68
GeForce 7900 GS,GPU,2006-04-02,90,65,196,278,450,TSMC,NVIDIA,254,68
GeForce 7950 GT,GPU,2007-04-02,90,65,196,278,500,TSMC,NVIDIA,344,189
GeForce 7950 GT,GPU,2006-08-06,90,65,196,278,550,TSMC,NVIDIA,344,189
Quadro FX 1500,GPU,2006-04-20,90,65,196,278,325,TSMC,NVIDIA,190,105
GeForce 7800 GS,GPU,2006-09-28,90,75,196,278,425,TSMC,NVIDIA,177,199
GeForce 7800 GS,GPU,2006-09-28,90,75,196,278,375,TSMC,NVIDIA,177,199
GeForce 7800 GS,GPU,2006-09-28,90,75,196,278,425,TSMC,NVIDIA,177,199
Quadro FX 3500,GPU,2006-05-22,90,80,196,278,450,TSMC,NVIDIA,292,106
GeForce 7900 GT/GTO,GPU,2006-10-01,90,81,196,278,650,TSMC,NVIDIA,247,469
GeForce 7900 GTX,GPU,2006-03-09,90,84,196,278,650,TSMC,NVIDIA,388,165
Quadro FX 5500,GPU,2006-04-20,90,96,196,278,650,TSMC,NVIDIA,242,394
GeForce 7900 GT,GPU,2006-04-30,90,110,196,278,500,TSMC,NVIDIA,258,160
GeForce 7950 GX2,GPU,2006-06-05,90,110,196,278,500,TSMC,NVIDIA,202,413
Quadro FX 4500 X2,GPU,2006-04-24,90,145,196,278,500,TSMC,NVIDIA,236,653
ION,GPU,2008-06-03,65,20,162,282,575,Unknown,NVIDIA,86,20
ION,GPU,2008-06-03,65,20,162,282,450,Unknown,NVIDIA,86,20
ION LE,GPU,2008-06-03,65,20,162,282,450,Unknown,NVIDIA,98,96
GeForce 8600M GT,GPU,2007-10-05,80,20,169,289,470,TSMC,NVIDIA,89,42
GeForce 8600M GT,GPU,2007-05-01,80,20,169,289,475,TSMC,NVIDIA,89,42
GeForce 8600M GT,GPU,2007-12-31,80,20,169,289,475,TSMC,NVIDIA,89,42
GeForce 9500M GS,GPU,2008-02-01,80,20,169,289,475,TSMC,NVIDIA,104,74
Quadro NVS 320M,GPU,2007-06-09,80,20,169,289,575,TSMC,NVIDIA,128,109
GeForce 8700M GT,GPU,2007-06-01,80,29,169,289,625,TSMC,NVIDIA,124,97
GeForce 9650M GS,GPU,2008-03-13,80,29,169,289,625,TSMC,NVIDIA,270,328
Quadro FX 370,GPU,2007-09-12,80,35,169,289,360,TSMC,NVIDIA,84,385
Quadro FX 570,GPU,2007-09-12,80,38,169,289,460,TSMC,NVIDIA,156,140
Quadro FX 1700,GPU,2008-09-27,80,42,169,289,520,TSMC,NVIDIA,118,44
Quadro FX 1700,GPU,2007-09-12,80,42,169,289,460,TSMC,NVIDIA,118,44
Quadro FX 570M,GPU,2007-06-01,80,45,169,289,475,TSMC,NVIDIA,111,49
GeForce 8600 GS,GPU,2007-04-17,80,47,169,289,540,TSMC,NVIDIA,92,100
GeForce 8600 GT,GPU,2007-04-17,80,47,169,289,540,TSMC,NVIDIA,117,63
GeForce 8600 GT,GPU,2007-04-17,80,47,169,289,600,TSMC,NVIDIA,117,63
